baseline,,mitigation,,CDR,,SG,
X,Y,X,Y,X,Y,X,Y
2144.756997346853,8.3669721599725,2239.926989203531,5.9212795034885275,2208.6718996269833,2.343654747414549,2122.632608096039,3.8382447041547527
2148.6199859462017,8.473871307947901,2243.789977802879,5.9212795034885275,2212.534888226332,2.1518357155334513,2126.495596695387,3.756321992622201
2152.48297454555,8.580770455923304,2247.652966402228,5.9212795034885275,2216.3978768256807,1.953023281448358,2130.358585294736,3.6554171893930834
2156.3459631448986,8.680676201694709,2131.6532258064517,6.0883280757097795,2220.260865425029,1.744220272786123,2134.2215738940845,3.5535133287062504
2160.2089517442473,8.77758477509297,2119.858870967742,6.012618296529969,2224.1238540243776,1.5314210342930323,2138.0845624934327,3.4526085254771326
2164.071940343596,8.874493348491232,2105.342741935484,5.8801261829653,2227.9868426237263,1.3066331063073733,2141.9475510927814,3.3457093775017306
2167.934928942944,8.968404749516353,2088.1048387096776,5.5015772870662465,2231.8498312230745,1.0708555462868592,2145.81053969213,3.2328158847800434
2171.797917542293,9.056321805795188,2074.193548387097,5.047318611987381,2233.9569159136286,0.9429761916994632,2149.6735282914783,3.116925219685216
2175.6609061416416,9.142240747158596,2059.375,4.479495268138802,2242.7364354576025,0.3685181535138895,2153.536516890827,3.0060298418789575
2179.52389474099,9.23015780343743,2047.5806451612905,3.968454258675079,2246.5994240569507,0.174034968412224,2157.3995054901757,2.894135406614984
2183.3868833403385,9.307085227681412,2036.6935483870968,3.5331230283911683,2248.355327965746,0.08761649831995832,2161.262494089524,2.7872362586395827
2187.249871939687,9.391006054129392,2026.7137096774195,3.041009463722398,2237.802419354839,0.7697160883280763,2165.1254826888726,2.6793380532064646
2191.1128605390354,9.465935363457945,2020.3629032258066,2.7760252365930604,2240.2217741935483,0.5425867507886437,2168.9884712882213,2.574437020146492
2194.975849138384,9.542862787701925,,,2101.411290322581,5.634069400630915,2172.85145988757,2.466538814713374
2198.838837737733,9.612796809741909,,,2092.3387096774195,5.5015772870662465,2176.714448486918,2.359639666737971
2202.701826337081,9.683729889239606,,,2080.5443548387098,5.1230283911671926,2180.577437086267,2.25274051876257
2206.5648149364297,9.747669566533304,,,2067.842741935484,4.782334384858045,2184.4404256856155,2.142844198414025
2210.4278035357784,9.816604531115573,,,2055.141129032258,4.309148264984228,2188.3034142849638,2.028951648234626
2214.2907921351266,9.88054420840927,,,2046.0685483870968,3.930599369085175,2192.1664028843124,1.9120619256820817
2218.1537807344753,9.942485770787542,,,2035.483870967742,3.4763406940063097,2196.029391483661,1.798169375502681
2222.016769333824,10.003428275708098,,,2025.8064516129034,3.0220820189274455,2199.8923800830094,1.6752853082038541
2225.879757933172,10.061373608255513,,,2020.0604838709678,2.794952681388013,2203.755368682358,1.5474059536164564
2229.742746532521,10.113324596056643,,,,,2207.6183572817067,1.4165294266559183
2233.6057351318696,10.170270871146343,,,,,2211.130165099296,1.2958654870408992
2237.468723731218,10.224219973862901,,,,,2227.9868426237263,0.6272740350618253
2241.3317123305665,10.271175674375462,,,,,2231.8498312230745,0.4524389799618689
2245.194700929915,10.320129489803449,,,,,2234.483687086267,0.32480938973889906
2248.355327965746,10.357950950702623,,,,,2019.758064516129,1.7728706624605692
2040.3225806451615,3.8548895899053637,,,,,2219.3548387096776,0.9779179810725562
2035.483870967742,3.589905362776026,,,,,2223.286290322581,0.8264984227129339
2029.133064516129,3.249211356466878,,,,,2240.5241935483873,-0.006309148264984188
2020.3629032258066,2.8138801261829656,,,,,2248.991935483871,-0.006309148264984188
